,,,,,,
Table,Column,Constraints,Description,Source ,,
IMMiGRATION (FACT),,,,,,
,id,Primary Key,Id,I94_SAS_Labels_Descriptions.SAS,,
,year,,4 digit year,,,
,month,,Numeric month,,,
,country_code,Foreign Key ,the valid and invalid codes for processing the passenger’s arrival country.,,,
,airport_code,Foreign Key,the valid and invalid codes for airport code,,,
,arrival_date,,Arrival Date in the USA. It is a SAS date numeric field that a   permament format has not been applied.,,,
,arrival_mode_code,Foreign Key,"Arrival Mode code example Air, sea…",,,
,us_address_code,Foreign Key,US state codes,,,
,departure_date,,Departure Date in the USA. It is a SAS date numeric field that a   permament format has not been applied.,,,
,age,,Age of Respondent in Years,,,
,visa_code,Foreign Key,Visa codes,,,
,count,,Used for summary statistics,,,
,visa_issuing_state,,Department of State where where Visa was issued,,,
,us_occupation,,Occupation that will be performed in U.S. ,,,
,gender,,Gender,,,
,airline,,Airline used to arrive in U.S,,,
,flight_number,,Flight number of Airline used to arrive in U.S.,,,
,visa_type_code,,Class of admission legally admitting the non-immigrant to temporarily stay in U.S.,,,
Airport_detail(Dimension),,,,,,
,airport_iata_code,Primary Key,A three-letter code which is used in passenger reservation,airport-information.csv,,
,airport_name,,Airport name,,,
,elevation_ft,,elevation in ft,,,
,continent,,continent,,,
,iso_country,,iso country,,,
,municipality,,municipality,,,
,gps_code,,gps code,,,
,local_code,,local code,,,
,coordinates,,coordinates,,,
,,,,,,
Arrival_countries,,,,,,
,country_code,Primary Key,Country Code,I94_SAS_Labels_Descriptions.SAS,,
,country_name,,Passengers Country,,,
,,,,,,
State_information,,,,,,
,state_code,Primary Key,State Code,I94_SAS_Labels_Descriptions.SAS,,
,state_name,,State Name,,,
,,,,,,
Visa type,Visa_code,Primary Key,Visa code,I94_SAS_Labels_Descriptions.SAS,,
,Value,,Value,,,
,,,,,,
Arrival_type,,,,,,
,code,Primary Key,Code ,I94_SAS_Labels_Descriptions.SAS,,
,value,,Value,,,